Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
K_ZONE_ENTRY_ENABLED_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,PASS,all applicable values/timeframes change real execution uniquely,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[false,true]",5m|15m|1h|4h|D,10,10,10
MOMENTUM_FADE_BODY_ATR_MIN_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,ENGINE_AUTO_WIRED|GLOBAL|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[2.0,1.0,1.5,2.5,3.0]",5m|15m|1h|4h|D,25,24,15
MOMENTUM_FADE_ENABLED_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at D,ENGINE_AUTO_WIRED|GLOBAL|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[false,true]",5m|15m|1h|4h|D,10,10,9
MOMENTUM_FADE_K_ZONE_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at D,ENGINE_AUTO_WIRED|ENTRY|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[false,true]",5m|15m|1h|4h|D,10,10,9
MOMENTUM_FADE_SCORE_BONUS_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,ENGINE_AUTO_WIRED|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,False,True,"[5,2]",5m|15m|1h|4h|D,10,10,8
MOMENTUM_FADE_VOL_MIN_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,ENGINE_AUTO_WIRED|GLOBAL|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[2.0,1.0,1.5,2.5,3.0]",5m|15m|1h|4h|D,25,24,15
MTS_BOTTOM_MIN_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values have identical delta at D,ENGINE_AUTO_WIRED|GLOBAL|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[5.0,2.5,3.75,6.25,7.5]",5m|15m|1h|4h|D,25,25,23
MTS_ENTRY_QUALITY_MIN_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,present-data MTS entry-quality values 0/1/2 admit the same bars at every tested TF,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[0.0,1.0,2.0]",5m|15m|1h|4h|D,15,5,5
MTS_GATE_ENABLED_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at D,ENGINE_AUTO_WIRED|FILTER|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[false,true]",5m|15m|1h|4h|D,10,10,9
RSI_ENTRY_LONG_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,PASS,all applicable values/timeframes change real execution uniquely,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[40.0,20.0,30.0,50.0,60.0]",5m|15m|1h|4h|D,25,25,25
