Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Timeframe,TF_Param,Value,Moves_Reference,Delta_vs_BH,Reference_Delta_vs_BH,Marginal_Delta,Gain_Pct,Trades,TIM_Pct,Max_DD_Pct,Pool_Sharpe,Behavior_Fingerprint,Reference_Fingerprint,Valid,Invalid_Reason,Applied_Overrides_JSON
BB_BREAKOUT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,5m,NATIVE_BASE_FIXED,false,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,5m,NATIVE_BASE_FIXED,true,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,5m,NATIVE_BASE_FIXED,20,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":20,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,5m,NATIVE_BASE_FIXED,10,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":10,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,5m,NATIVE_BASE_FIXED,15,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":15,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,5m,NATIVE_BASE_FIXED,25,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":25,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,5m,NATIVE_BASE_FIXED,30,False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":30,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,5m,,"""5m""",False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""5m"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,15m,,"""15m""",False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""15m"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,1h,,"""1h""",False,-681.2939500256631,-681.2939500256631,0.0,0.026794806508827908,8,0.02,0.7251741132776524,-0.010182868748715658,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,4b2ac2d7031ac4694a0f5f081c3f5b0f0c9de4db8ad74cb805aef145794371c6,False,trades 8 < 30,"{""BASE_TF"":""5m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""1h"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
