field,family,authoritative_type,authoritative_default,authoritative_definition,causal_read_site,predicate,required_npz_arrays,required_caller_state,side_applicability,venue_applicability,timeframe_applicability,missing_data_behavior,implementation_status,notes
WT_4H_VEL_EXIT_ENABLED,EXIT,bool,True,config.py:2898,ez_manage.py:43191-43264,Master gate for the complete 4h WT velocity exit,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|position_age_seconds|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h+3m+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_4H_VEL_EXIT_K_EXTREME_HIGH,EXIT,float,80.0,config.py:2905,ez_manage.py:43229-43238,LONG requires stoch K 3m OR 15m greater than or equal to threshold,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|position_age_seconds|position_active|position_above_min_qty,LONG,crypto|tradier,4h+3m+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_4H_VEL_EXIT_K_EXTREME_LOW,EXIT,float,20.0,config.py:2906,ez_manage.py:43229-43242,SHORT requires stoch K 3m OR 15m less than or equal to threshold,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|position_age_seconds|position_active|position_above_min_qty,SHORT,crypto|tradier,4h+3m+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_4H_VEL_EXIT_REQUIRE_K_EXTREME,EXIT,bool,True,config.py:2904,ez_manage.py:43229-43242,When true require the side-specific 3m OR 15m stochastic extreme,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|position_age_seconds|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h+3m+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_4H_VEL_EXIT_REQUIRE_PROFIT,EXIT,bool,True,config.py:2903,ez_manage.py:43223-43227,When true gain must be at least COMMISSION_BUFFER_PCT,wt_velocity_4h|stoch_k_3m|stoch_k_15m,gain_pct|position_age_seconds|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h+3m+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
DC_HOPELESS_EXIT_ENABLED,EXIT,bool,True,config.py:2974,ez_manage.py:43274-43317,Master gate for entry outside the valid 4h Donchian channel,dc_high_4h|dc_low_4h,entry_price|position_age_seconds|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h,ALL_FALSE_AND_REPORT,SOURCE_EXACT,LONG entry above dc_high; SHORT entry below dc_low
DC_HOPELESS_EXIT_MIN_AGE_S,EXIT,int,900,config.py:2975,ez_manage.py:43297-43317,Position age seconds must be strictly greater than threshold,dc_high_4h|dc_low_4h,entry_price|position_age_seconds|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_EXHAUST_EXIT_MIN_GAIN_PCT,EXIT,float,0.5,config.py:2984,ez_manage.py:43350-43366,Gain must be greater than or equal to threshold after exact exhaustion confirmation,wt_momentum_state_4h|wt_momentum_state_1h|wt_momentum_state_15m,gain_pct|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h+1h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,Older vector helper omitted this gate
WT_EXHAUST_EXIT_REQUIRE_GAIN,EXIT,bool,False,config.py:2983,ez_manage.py:43350-43366,When true gain must additionally be strictly positive,wt_momentum_state_4h|wt_momentum_state_1h|wt_momentum_state_15m,gain_pct|position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,4h+1h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_PERCENTILE_EXIT_ENABLED,EXIT,bool,True,config.py:2993,ez_manage.py:43373-43413,Master gate for D and 4h percentile extreme plus adverse 15m WT confirmation,wt_percentile_D|wt_percentile_4h|wt1_15m|wt2_15m,position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,D+4h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,Older vector helper omitted 15m confirmation
WT_PERCENTILE_EXIT_OB_4H,EXIT,float,55.0,config.py:2995,ez_manage.py:43383-43389,LONG requires 4h percentile strictly greater than threshold and adverse 15m WT,wt_percentile_D|wt_percentile_4h|wt1_15m|wt2_15m,position_active|position_above_min_qty,LONG,crypto|tradier,D+4h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_PERCENTILE_EXIT_OB_D,EXIT,float,75.0,config.py:2994,ez_manage.py:43383-43389,LONG requires D percentile strictly greater than threshold and adverse 15m WT,wt_percentile_D|wt_percentile_4h|wt1_15m|wt2_15m,position_active|position_above_min_qty,LONG,crypto|tradier,D+4h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_PERCENTILE_EXIT_OS_4H,EXIT,float,25.0,config.py:2997,ez_manage.py:43390-43396,SHORT requires 4h percentile strictly less than threshold and adverse 15m WT,wt_percentile_D|wt_percentile_4h|wt1_15m|wt2_15m,position_active|position_above_min_qty,SHORT,crypto|tradier,D+4h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_PERCENTILE_EXIT_OS_D,EXIT,float,10.0,config.py:2996,ez_manage.py:43390-43396,SHORT requires D percentile strictly less than threshold and adverse 15m WT,wt_percentile_D|wt_percentile_4h|wt1_15m|wt2_15m,position_active|position_above_min_qty,SHORT,crypto|tradier,D+4h+15m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
E_1_EXIT_DELTA_THR,EXIT,float,50.0,config.py:3149,ez_manage.py:43417-43443,LONG delta strictly below negative threshold; SHORT strictly above positive threshold,wt_composite_delta,position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,composite persisted TFs,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
E_1_WT_EXIT_USE_DELTA_ENABLED,EXIT,bool,False,config.py:3148,ez_manage.py:43417-43443,Master gate for E-1 WT composite delta exit,wt_composite_delta,position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,composite persisted TFs,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
E_3_USE_WT_STRUCTURE_EXIT_MODE,EXIT,int,0,config.py:3153,ez_manage.py:43447-43482,0 off; 1 shadow only; 2 executable when at least two of 15m 1h 4h persisted peak structures oppose position,wt_structure_15m|wt_structure_1h|wt_structure_4h,position_active|position_above_min_qty,LONG|SHORT,crypto|tradier,15m+1h+4h,ALL_FALSE_AND_REPORT,SOURCE_EXACT,Persisted wt_structure is peak structure: -1 LH and +1 HH; source LL/HL comments are unreachable through this key
WT_CROSS_EXIT_ENABLED,EXIT,bool,True,config.py:2160,ez_positions_quick.py:14400-14431,Master gate for 1h adverse WT cross with optional 15m confirmation and young-position 3m veto,wt1_1h|wt2_1h|wt1_15m|wt2_15m|wt1_3m|wt2_3m,gain_pct|position_age_seconds|position_active|position_above_min_qty|is_hedge|in_grace_period|hard_exit_pending,LONG|SHORT,crypto,1h+15m+3m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,Source outer guard requires gain greater than 0.015
WT_CROSS_EXIT_MIN_AGE_MINUTES,EXIT,float,1.0,config.py:2162,ez_positions_quick.py:14401-14405,Position age minutes must be greater than or equal to threshold,wt1_1h|wt2_1h|wt1_15m|wt2_15m|wt1_3m|wt2_3m,gain_pct|position_age_seconds|position_active|position_above_min_qty|is_hedge|in_grace_period|hard_exit_pending,LONG|SHORT,crypto,1h+15m+3m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_CROSS_EXIT_REQUIRE_15M_CONFIRM,EXIT,bool,True,config.py:2161,ez_positions_quick.py:14406-14431,When true 15m WT must also oppose the position,wt1_1h|wt2_1h|wt1_15m|wt2_15m|wt1_3m|wt2_3m,gain_pct|position_age_seconds|position_active|position_above_min_qty|is_hedge|in_grace_period|hard_exit_pending,LONG|SHORT,crypto,1h+15m+3m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_CROSS_EXIT_APPLIES_TO_WINNERS,REDUCE,bool,True,config.py:2164,ez_positions_quick.py:14400-14431,Winner branch of WT-cross PnL selector,wt1_1h|wt2_1h|wt1_15m|wt2_15m|wt1_3m|wt2_3m,gain_pct|position_age_seconds|position_active|position_above_min_qty|is_hedge|in_grace_period|hard_exit_pending,LONG|SHORT,crypto,1h+15m+3m,ALL_FALSE_AND_REPORT,SOURCE_EXACT,
WT_CROSS_EXIT_APPLIES_TO_LOSERS,REDUCE,bool,True,config.py:2163,ez_positions_quick.py:14400-14405,Loser branch is unreachable because enclosing source guard requires the same position gain to be greater than 0.015,wt1_1h|wt2_1h|wt1_15m|wt2_15m|wt1_3m|wt2_3m,gain_pct|position_age_seconds|position_active|position_above_min_qty|is_hedge|in_grace_period|hard_exit_pending,LONG|SHORT,crypto,1h+15m+3m,ALL_FALSE_AND_REPORT,REJECTED_SOURCE_INERT,Do not promote until authoritative source guard is repaired
WT_REDUCE_FRAC_LOW,REDUCE,float,0.15,config.py:1295,ez_positions_quick.py:14579-14590,Non-full close fraction when min profit is met and gain is strictly below 0.5 percent,NONE,gain_pct|min_profit_pct|position_active|position_above_min_qty|candidate_is_full_close,LONG|SHORT,crypto,position state only,N_A_NO_PERSISTED_ARRAYS,SOURCE_EXACT,
WT_REDUCE_FRAC_MED,REDUCE,float,0.25,config.py:1296,ez_positions_quick.py:14579-14590,Non-full close fraction when gain is at least 0.5 and strictly below 1.0 percent,NONE,gain_pct|min_profit_pct|position_active|position_above_min_qty|candidate_is_full_close,LONG|SHORT,crypto,position state only,N_A_NO_PERSISTED_ARRAYS,SOURCE_EXACT,
WT_REDUCE_FRAC_HIGH,REDUCE,float,0.5,config.py:1297,ez_positions_quick.py:14579-14590,Non-full close fraction when gain is at least 1.0 and strictly below 3.0 percent,NONE,gain_pct|position_active|position_above_min_qty|candidate_is_full_close,LONG|SHORT,crypto,position state only,N_A_NO_PERSISTED_ARRAYS,SOURCE_EXACT,
