field,quickconfig_line,scope_basis,venue_applicability,vector_status,vector_evidence_file_line,backtest_v12_live_status,backtest_v12_live_evidence_file_line,ez_crypto_live_status,ez_crypto_live_evidence_file_line,tradier_live_status,tradier_live_evidence_file_line,exact_contract,gap_reason
ABLATION_DISABLE_AGGRESSIVE_HEDGE,4437,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13528:simulate_one:getattr,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer; no causal Tradier consumer
ABLATION_DISABLE_AUGMENTATION,4438,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13530:simulate_one:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:46177:process_position:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
ABLATION_DISABLE_CHECK_NOLOSS,4439,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13532:simulate_one:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:43934:process_position:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
ABLATION_DISABLE_DC_BREACH_REDUCE,4440,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13534:simulate_one:getattr,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer; no causal Tradier consumer
ABLATION_DISABLE_HEDGE,4275,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13536:simulate_one:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_positions_quick.py:6547:monitor_and_manage_hedges:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
ABLATION_DISABLE_HIGH_GAIN_AUGMENT,4445,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:13538:simulate_one:getattr,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer; no causal Tradier consumer
ABLATION_DISABLE_QUICK_ENTRY,4276,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7026:compute_entry_signals:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_positions_quick.py:15025:check_entry_candidates_for_account:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
ABLATION_DISABLE_QUICK_EXIT,4277,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7585:compute_exit_signals:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_positions_quick.py:13586:check_exit_candidates_for_account:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
ADX_TRENDING_THRESHOLD,4062,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7858:compute_reduce_signals:getattr;v12_quick_engine.py:7938:compute_regime_sizing_mult:getattr,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal EZ crypto consumer; no causal Tradier consumer
ATR_ADAPTIVE_SIZING_ENABLED,4064,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7944:compute_regime_sizing_mult:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:35474:calculate_final_order_quantity:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
ATR_ADAPTIVE_SIZING_TARGET_PCT,4065,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7947:compute_regime_sizing_mult:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:35479:calculate_final_order_quantity:getattr,GAP_NO_CAUSAL_CONSUMER,,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded); no causal Tradier consumer
AUGMENTATION_COOLDOWN_SECONDS,4455,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:14254:simulate_one:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:16447:_handle_signal_message:attribute;ez_manage.py:16457:_handle_signal_message:attribute;ez_manage.py:22597:is_duplicate_order:getattr;ez_manage.py:22646:cleanup_old_dedupe_keys:getattr;ez_manage.py:25850:execute_now:getattr;ez_manage.py:38511:_process_single_override_check:attribute;ez_manage.py:38518:_process_single_override_check:attribute;ez_manage.py:9545:_load_augmented_positions_from_file:getattr;ez_manage.py:9571:_load_augmented_positions_from_service:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:18939:execute_now:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
AUGMENT_GAIN_GT_3PCT_ENABLED,5187,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_EXACT_REVIEWED,v12_quick_engine.py:13611:simulate_one:getattr,EXACT_LIVE_DELEGATED_OR_DIRECT_PATH,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,EXACT_CAUSAL_CONSUMER,tradier_manage.py:721:_v12_gain_lifecycle_decision:resolver,augment 50% when live position gain is strictly above the configured rally threshold,no causal EZ crypto consumer; backtest reaches reviewed live consumer by delegation rather than a duplicate predicate
AUGMENT_ONLY_WHEN_PROFITABLE_TRADIER,4291,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,TRADIER_ONLY_EXPLICIT_NAME,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7844:_augment_allowed:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,N_A_EXPLICIT_TRADIER_FIELD,,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:18238:execute_trade_action:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
AUGMENT_RALLY_MIN_GAIN_PCT,5190,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_EXACT_REVIEWED,v12_quick_engine.py:13609:simulate_one:getattr,EXACT_LIVE_DELEGATED_OR_DIRECT_PATH,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,EXACT_CAUSAL_CONSUMER,tradier_manage.py:719:_v12_gain_lifecycle_decision:resolver,strict live-gain threshold for the rally augment,no causal EZ crypto consumer; backtest reaches reviewed live consumer by delegation rather than a duplicate predicate
AUGMENT_WT15_CROSS_GAIN_GT_2_ENABLED,5188,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_EXACT_REVIEWED,v12_quick_engine.py:13612:simulate_one:getattr,EXACT_LIVE_DELEGATED_OR_DIRECT_PATH,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,EXACT_CAUSAL_CONSUMER,tradier_manage.py:722:_v12_gain_lifecycle_decision:resolver,augment 50% on a fresh side-aware 15m WT cross above the configured gain floor,no causal EZ crypto consumer; backtest reaches reviewed live consumer by delegation rather than a duplicate predicate
AUGMENT_WT15_MIN_GAIN_PCT,5191,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_EXACT_REVIEWED,v12_quick_engine.py:13610:simulate_one:getattr,EXACT_LIVE_DELEGATED_OR_DIRECT_PATH,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,GAP_NO_CAUSAL_CONSUMER,,EXACT_CAUSAL_CONSUMER,tradier_manage.py:720:_v12_gain_lifecycle_decision:resolver,strict live-gain threshold for the fresh 15m WT-cross augment,no causal EZ crypto consumer; backtest reaches reviewed live consumer by delegation rather than a duplicate predicate
BACKTEST_VALIDATED_GATES_TRADIER,4279,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,TRADIER_ONLY_EXPLICIT_NAME,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7009:compute_entry_signals:getattr,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,N_A_EXPLICIT_TRADIER_FIELD,,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:10971:calculate_signal_score:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BAND_SLOPE_SIZING_V2_DEPTH_GAIN,4456,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7893:_band_slope_sizing_v2_mult:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:21266:execute_trade_action:getattr;ez_positions_quick.py:1332:calculate_dynamic_quantity:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:21105:calculate_position_size:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BAND_SLOPE_SIZING_V2_ENABLED,4457,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7880:_band_slope_sizing_v2_mult:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:21258:execute_trade_action:getattr;ez_positions_quick.py:1324:calculate_dynamic_quantity:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:21094:calculate_position_size:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BAND_SLOPE_SIZING_V2_MAX,4459,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7896:_band_slope_sizing_v2_mult:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:21270:execute_trade_action:getattr;ez_positions_quick.py:1336:calculate_dynamic_quantity:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:21109:calculate_position_size:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
BAND_SLOPE_SIZING_V2_MIN,4460,UNIQUE_QUICKCONFIG_FIELD_WITH_NON_SYNTHETIC_VECTOR_READ,BOTH_OR_UNRESOLVED,CONNECTED_CAUSAL_READ_SEMANTICS_UNVERIFIED,v12_quick_engine.py:7895:_band_slope_sizing_v2_mult:attribute,CAUSAL_PATH_SEMANTICS_UNVERIFIED,backtest_v12_engine.py:5438:ez_manage.process_position;backtest_v12_engine.py:5897:ez_positions_quick.check_entry_candidates_for_account;backtest_v12_engine.py:6694:run_simulation_tradier imports and runs tradier_manage,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,ez_manage.py:21270:execute_trade_action:getattr;ez_positions_quick.py:1336:calculate_dynamic_quantity:getattr,CAUSAL_CONSUMER_SEMANTICS_UNVERIFIED,tradier_manage.py:21109:calculate_position_size:_cfg_auto,,no reviewed exact vector/live semantic contract; no field-specific causal read in backtest_v12_engine (generic override propagation excluded)
