field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,notes
ALL_TF_AGAINST_CLOSE_COOLDOWN_SEC,EXIT,30.0,SOURCE_EXACT,all_tf_against_close,ez_manage.py:41501-41570,wt1/wt2_3m|15m|1h|4h|D,seconds_since_all_tf_close,ALL_FALSE_AND_REPORT,Strict cooldown comparison
ALL_TF_AGAINST_CLOSE_ENABLED,EXIT,True,SOURCE_EXACT,all_tf_against_close,ez_manage.py:41501-41570,wt1/wt2_3m|15m|1h|4h|D,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,Five-TF adverse vote master
ALL_TF_AGAINST_CLOSE_MIN_TFS,EXIT,4,SOURCE_EXACT,all_tf_against_close,ez_manage.py:41501-41570,wt1/wt2_3m|15m|1h|4h|D,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,Adverse vote threshold
HTF_AGAINST_FORCE_CLOSE_CONFIRM_4H,EXIT,False,SOURCE_EXACT,htf_against_force_close,ez_manage.py:40286-40327,wt1/wt2_1h|15m|4h|3m|D,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,Optional 4h confirmation
HTF_AGAINST_FORCE_CLOSE_ENABLED,EXIT,True,SOURCE_EXACT,htf_against_force_close,ez_manage.py:40286-40327,wt1/wt2_1h|15m|4h|3m|D,position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,Gain-agnostic force-close master
TREND_EXIT_SCORE_FLIP,EXIT,0,SOURCE_EXACT,trend_reversal_exit,ez_positions_quick.py:14301-14317,htf_trend_score,gain_pct|is_trend_account|winner_protect_veto,ALL_FALSE_AND_REPORT,Directional score boundary
TREND_MIN_GAIN_EXIT,EXIT,0.1,SOURCE_EXACT,trend_reversal_exit,ez_positions_quick.py:14301-14317,htf_trend_score,gain_pct|is_trend_account|winner_protect_veto,ALL_FALSE_AND_REPORT,Inclusive gain floor
HTF_EXIT_VETO_ENABLED,EXIT,True,SOURCE_EXACT,htf_exit_veto,ez_positions_quick.py:14322-14340,wt1/wt2_1h|4h|D,gain_pct|is_hedge,ALL_FALSE_AND_REPORT,Favorable HTF vote master
HTF_EXIT_VETO_MAX_LOSS_PCT,EXIT,2.0,SOURCE_EXACT,htf_exit_veto,ez_positions_quick.py:14322-14340,wt1/wt2_1h|4h|D,gain_pct|is_hedge,ALL_FALSE_AND_REPORT,Absolute gain window inclusive
HTF_EXIT_VETO_MIN_ALIGNED,EXIT,2,SOURCE_EXACT,htf_exit_veto,ez_positions_quick.py:14322-14340,wt1/wt2_1h|4h|D,gain_pct|is_hedge,ALL_FALSE_AND_REPORT,Favorable vote threshold
BREAKEVEN_GAIN_EROSION_ENABLED,EXIT,False,SOURCE_EXACT,breakeven_gain_erosion_exit,ez_positions_quick.py:14340-14368,NONE,gain_pct|position_age_minutes|max_gain_pct|veto/grace flags,N_A_STATE_ONLY,Master gate
BREAKEVEN_GAIN_EROSION_REQUIRE_PROFIT,EXIT,True,SOURCE_EXACT,breakeven_gain_erosion_exit,ez_positions_quick.py:14340-14368,NONE,gain_pct|position_age_minutes|max_gain_pct|veto/grace flags,N_A_STATE_ONLY,Selects commission-aware gain window
