contract_index,field,family,disjoint_vector_tranche,authoritative_type,authoritative_default,authoritative_grid,authoritative_semantics,authoritative_read_site,authoritative_function,parent_gates_or_modes_in_source_window,score_or_gate_composition,required_npz_arrays,required_npz_arrays_basis,side_applicability,npz_data_condition,venue_applicability,timeframe_applicability,read_missing_config_behavior,missing_market_data_behavior,implementation_guard
1,BAND_ARROW_ENTRY_TFS,ENTRY,01_ENTRY_SIGNALS,str,"D,4h,1h","[""D,4h,1h""]","Read BAND_ARROW_ENTRY_TFS with authoritative default 'D,4h,1h' at tradier_manage.py:4919:band_arrow_score:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",tradier_manage.py:4919:band_arrow_score:getattr,band_arrow_score,"[""BAND_ARROW_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""lrL_slope_{tf}""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""\""D"",""source"":""READ_FALLBACK:tradier_manage.py:4919"",""value"":""\""D""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
2,BB4H_BREAKOUT_LADDER_BASIS_PCT,ENTRY,01_ENTRY_SIGNALS,float,0.5,[0.5],"Read BB4H_BREAKOUT_LADDER_BASIS_PCT with authoritative default 0.5 at ez_manage.py:3948:evaluate_bb4h_breakout_ladder:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:3948:evaluate_bb4h_breakout_ladder:getattr,evaluate_bb4h_breakout_ladder,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":"".50"",""source"":""READ_FALLBACK:ez_manage.py:3948"",""value"":0.5}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
3,BB4H_BREAKOUT_LADDER_BREAKOUT_PCT,ENTRY,01_ENTRY_SIGNALS,float,0.25,[0.25],"Read BB4H_BREAKOUT_LADDER_BREAKOUT_PCT with authoritative default 0.25 at ez_manage.py:3947:evaluate_bb4h_breakout_ladder:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:3947:evaluate_bb4h_breakout_ladder:getattr,evaluate_bb4h_breakout_ladder,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":"".25"",""source"":""READ_FALLBACK:ez_manage.py:3947"",""value"":0.25}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
4,BB4H_BREAKOUT_LADDER_WT_CROSS_PCT,ENTRY,01_ENTRY_SIGNALS,float,0.25,[0.25],"Read BB4H_BREAKOUT_LADDER_WT_CROSS_PCT with authoritative default 0.25 at ez_manage.py:3949:evaluate_bb4h_breakout_ladder:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:3949:evaluate_bb4h_breakout_ladder:getattr,evaluate_bb4h_breakout_ladder,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":"".25"",""source"":""READ_FALLBACK:ez_manage.py:3949"",""value"":0.25}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
5,BB_BREAKOUT_CONT_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read BB_BREAKOUT_CONT_ENABLED with authoritative default True at ez_manage.py:41909:process_position:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:41909:process_position:getattr,process_position,[],THRESHOLD_PREDICATE,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:41909"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
6,BB_BREAKOUT_CONT_HOURS,ENTRY,01_ENTRY_SIGNALS,float,72.0,[72.0],"Read BB_BREAKOUT_CONT_HOURS with authoritative default 72.0 at ez_manage.py:41908:process_position:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:41908:process_position:getattr,process_position,"[""BB_BREAKOUT_CONT_ENABLED""]",THRESHOLD_PREDICATE,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""72.0"",""source"":""READ_FALLBACK:ez_manage.py:41908"",""value"":72.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
7,BREAKOUT_DC1H_BYPASS_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read BREAKOUT_DC1H_BYPASS_ENABLED with authoritative default True at ez_manage.py:24203:execute_now:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:24203:execute_now:getattr,execute_now,"[""GUARANTEED_REENTRY_AUGMENT_ENABLED""]",THRESHOLD_PREDICATE,"[""dc_high_1h_prev"",""dc_low_1h_prev""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:24203"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
8,BREAKOUT_LEASH_TF,ENTRY,01_ENTRY_SIGNALS,str,3m,"[""3m""]","Read BREAKOUT_LEASH_TF with authoritative default '3m' at ez_manage.py:41221:process_position:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:41221:process_position:getattr,process_position,"[""BREAKOUT_LEASH_ENABLED""]",THRESHOLD_PREDICATE,"[""dc_high_{_leash_tf}_prev"",""dc_low_{_leash_tf}_prev"",""high_{_leash_tf}"",""high_{_leash_tf}_prev"",""low_{_leash_tf}"",""low_{_leash_tf}_prev""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""3m""]","{""expression"":""\""3m\"""",""source"":""READ_FALLBACK:ez_manage.py:41221"",""value"":""3m""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
9,BTC_BREAKOUT_ENTRY_ENABLED,S2_BTC_BEST_BREAKOUT,01_ENTRY_SIGNALS,bool,True,"[true,false]","Read BTC_BREAKOUT_ENTRY_ENABLED with authoritative default True at v12_wide_engine.py:2679:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:2679:simulate_one_symbol:getattr,simulate_one_symbol,"[""BTC_ACCEL_RAMP_ENABLED"",""BTC_DIVERGENCE_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:2679"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
10,BTC_ENTRY_DIV_ONLY_ENABLED,BTC_ENTRY_DIV,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read BTC_ENTRY_DIV_ONLY_ENABLED with authoritative default False at v12_wide_engine.py:2693:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:2693:simulate_one_symbol:getattr,simulate_one_symbol,"[""BTC_DIVERGENCE_ENABLED"",""BTC_FOLLOW_THROUGH_REENTRY_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:2693"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
