field,family,authoritative_default,status,predicate,source,required_persisted_arrays,required_state,missing_behavior,lifecycle_filter_consumers,applicable_actions,notes
BB_FROZEN_STOP_FIELD,STOP,lower,SOURCE_EXACT,bb_frozen_stop,ez_manage.py:40710-40744,bb_{selected_field}_{BB_FROZEN_STOP_TF},current_price|gain_pct|position_active|position_above_min_qty|prior_frozen_level,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Directional lower or upper remap matches live; basis remains basis
BB_FROZEN_STOP_TF,STOP,1h,SOURCE_EXACT,bb_frozen_stop,ez_manage.py:40710-40744,bb_{selected_field}_{BB_FROZEN_STOP_TF},current_price|gain_pct|position_active|position_above_min_qty|prior_frozen_level,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,First valid selected-TF level is latched for the active position
DELTA_EXIT_MANDATORY_REENTRY_ENABLED,REENTRY,False,SOURCE_EXACT,delta_exit_mandatory_reentry_arm,ez_manage.py:43906-43924,NONE,causal_delta_exit_signal|position_active|position_above_min_qty,N/A,consume_lifecycle_actions:MANDATORY_REENTRY_ARM,MANDATORY_REENTRY_ARM,Does not invent a Delta exit; only arms reentry after a supplied causal exit
ENABLE_LOSS_PROTECTION,FILTER,True,SOURCE_EXACT,loss_protection_filter,ez_manage.py:4442-4475,NONE,gain_pct|last_augmentation_age_seconds|has_last_augmentation|position_active,N/A,consume_lifecycle_actions:REDUCE|STOP,REDUCE|STOP,True protects threshold-through-0.12 band; false selects newborn augmentation-age behavior
EXIT_EMERGENCY_DC1H_ENABLED,STOP,False,SOURCE_EXACT,emergency_dc4h_exit,tradier_manage.py:5429-5460,dc_low_4h OR dc_high_4h,current_price|position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP|MANDATORY_REENTRY_ARM,EXIT|STOP|MANDATORY_REENTRY_ARM,Legacy setting name explicitly masters the live 4h Donchian emergency channel
EXIT_STRUCT_TF,EXIT,None,SOURCE_EXACT,selected_tf_structure_exit,tradier_manage.py:5629-5668,open/high_prev/low_prev selected native TF,position_active|position_above_min_qty|prior_parent_state,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Fires only when selected parent open changes and both boundaries move adversely
HEDGE_BANDAID_OFF_ENABLED,EXIT,False,SOURCE_EXACT,hedge_bandaid_off_exit,ez_manage.py:42435-42530;ez_positions_quick.py:5778-5816,wt1/wt2_15m|wt1/wt2_3m,is_hedge|origin_gain_pct|position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,15m WT favoring the origin closes hedge without a PnL gate
HEDGE_BANDAID_OFF_REQUIRE_WT_3M_FLIP,EXIT,True,SOURCE_EXACT,hedge_bandaid_off_exit,ez_manage.py:42480-42515;ez_positions_quick.py:5800-5810,wt1/wt2_15m|wt1/wt2_3m,is_hedge|origin_gain_pct|position_active|position_above_min_qty,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Vetoes close while native 3m still favors hedge and origin remains below recovery threshold
HEDGE_CLOSE_SCALP_MODE,EXIT,True,SOURCE_EXACT,hedge_scalp_close,ez_positions_quick.py:5846-5907,wt_bullish_1m,is_hedge|gain_pct|age_minutes|origin_gain_pct|origin_max_loss_since_hedge_pct,ONLY_RULE_D_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Rules A-C are exact state predicates; optional 1m Rule D fails closed when absent
HEDGE_DECAY_NUKE_ENABLED,EXIT,True,SOURCE_EXACT,hedge_decay_nuke_exit,ez_positions_quick.py:5948-5953,NONE,is_hedge|gain_pct|hedge_max_gain_pct|position_active,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Peak above 1 percent then decay into positive 0-to-0.5 band
HEDGE_EXIT_BYPASS_NOLOSS,EXIT,False,SOURCE_EXACT,hedge_cleanup_r6_exit,ez_manage.py:43620-43779,wt1/wt2_3m|wt1/wt2_15m|wt1/wt2_1h,is_hedge|gain_pct|origin_gain_pct|origin_position_gone|position_active,ALL_FALSE_AND_REPORT,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Changes WT requirement from 3m+15m+1h to 3m+1h; commission floor remains mandatory
HEDGE_MAX_AGE_HOURS,EXIT,6.0,SOURCE_EXACT,hedge_max_age_exit,ez_positions_quick.py:6688-6721,NONE,is_hedge|gain_pct|age_minutes|position_active,N/A,consume_lifecycle_actions:EXIT|STOP,EXIT|STOP,Zero disables; positive value is an exact age cap
