Queue_Row,Switch,Classification,Classification_Reason,Family,Groups,Source_Sheets,QuickConfig_Declared,Default,Type,Authoritative_Values,Values_Source,Parents,Parent_Context,TF_Support_Mode,TF_Support,Native_Base_TF,Vector_Read,Vector_Causal_Read,Live_Read,Live_Crypto_Read,Live_Tradier_Read,Parity_Status,Semantic_Cert_Status,Semantic_Cert_Reason,Repair_Owner,Exact_Venue,Exact_Side,Witness_Target,Missing_Data_Policy,Entry_Lifecycle_Witness,Alias_Of,Batch_ID,Batch_Slot,BTCUSDC_LONG_Status,BTCUSDC_LONG_Reason,BTCUSDC_SHORT_Status,BTCUSDC_SHORT_Reason,MU_LONG_Status,MU_LONG_Reason,MU_SHORT_Status,MU_SHORT_Reason
1,ABLATION_DISABLE_AGGRESSIVE_HEDGE,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_AGGRESSIVE,ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,1,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
2,ABLATION_DISABLE_AUGMENTATION,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_AUGMENTATION,AUGMENT|ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,2,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
3,ABLATION_DISABLE_CHECK_NOLOSS,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_CHECK,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,3,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
4,ABLATION_DISABLE_DC_BREACH_REDUCE,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_DC,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D|REDUCE,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,4,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
5,ABLATION_DISABLE_ENTRY_LEADERBOARD,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_ENTRY,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,5,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
6,ABLATION_DISABLE_ENTRY_RANKING,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_ENTRY,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,true,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,6,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
7,ABLATION_DISABLE_ENTRY_REVERSAL,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_ENTRY,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,False,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,7,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
8,ABLATION_DISABLE_ENTRY_TECHNICAL,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_ENTRY,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,true,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,True,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,"one-bar real max-hold + zero hold/cooldown, equally applied",,S1Q-0001,8,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
9,ABLATION_DISABLE_FAST_RISER,LIVE_STRATEGY_VECTOR_REPAIR,live strategy read exists but exact causal vector read is absent,GLOBAL,ENGINE_AUTO_WIRED|GLOBAL|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|RECENT_RESULTS_5D,False,"""""",UNKNOWN,"[false,true]",CURATED_WORKBOOK_OR_TYPED_DEFAULT,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,False,False,True,True,True,NOT_IN_PARITY_INVENTORY,LIVE_ONLY_NEEDS_VECTOR,live read exists without exact causal vector semantics,VECTOR_CAUSAL_REPAIR,BOTH,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,,,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent
10,ABLATION_DISABLE_HEDGE,EXECUTABLE_QUICKCONFIG_STRATEGY,QuickConfig declaration and causal vector read are present,ABLATION_DISABLE_HEDGE,ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,false,bool,"[true,false]",SWITCH_CATALOG,,ON for all listed causal parents; tested field applied last,NATIVE_ONLY_UNLESS_EXPLICIT_SELECTOR,3m_crypto|5m_tradier,3m crypto | 5m Tradier,True,True,True,True,False,NOT_IN_PARITY_INVENTORY,VECTOR_READ_NEEDS_SEMANTIC_PROOF,vector read found,S1_CAUSAL_AUDIT,CRYPTO,BOTH,BTCUSDC_LONG,N_A_DATA only when an exact required NPZ array is absent,standard causal lifecycle,,S1Q-0001,9,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,APPLICABLE,N/A_DATA allowed only after exact required NPZ array is proven absent,N_A_VENUE,CRYPTO-only field is not executable on TRADIER,N_A_VENUE,CRYPTO-only field is not executable on TRADIER
