param_name,current_value,sweep_values,category,description,priority
WT_EXIT_LEAD_TFS,"1h+4h+D","4h+D|1h+4h+D|4h|D|1h+D|15m+1h+4h+D",EXIT_LEAD,Which slow TFs detect end-of-move (bear cross = exit signal). Core question: does D alone catch tops or do we need 4h confirmation?,1
WT_EXIT_LEAD_MIN_TFS,1,"1|2|3",EXIT_LEAD,How many lead TFs must turn bearish before exit process starts. 1=early exit (less drawdown) vs 3=ride longer (more profit but bigger pullbacks),1
WT_EXIT_LEAD_USE_CROSS,True,"True|False",EXIT_LEAD,Use WT cross (wt1 crosses below wt2) vs velocity for lead exit signal. Cross is discrete event; velocity is continuous,1
WT_EXIT_LEAD_VELOCITY_4H,-6.0,"-3.0|-4.0|-6.0|-8.0|-12.0",EXIT_LEAD,4h WT velocity threshold to signal exhaustion. Less negative = earlier exit. More negative = only exit on strong reversals,1
WT_EXIT_LEAD_VELOCITY_D,-4.0,"-2.0|-3.0|-4.0|-6.0|-8.0",EXIT_LEAD,Daily WT velocity threshold. D moves slowly so thresholds should be less negative than LTF,1
WT_EXIT_LEAD_EXTREME_ZONE,53,"40|45|50|53|60",EXIT_LEAD,WT extreme zone threshold on lead TFs. When WT > this on 4h/D position is extended and more likely to reverse,1
WT_EXIT_LEAD_PERCENTILE_THRESHOLD,80,"70|75|80|85|90",EXIT_LEAD,WT percentile on 4h/D above which we consider the move extended. 90th percentile = historically extreme,1
WT_EXIT_LEAD_MOMENTUM_STATE,EXHAUST_UP,"EXHAUST_UP|IMPULSE_DOWN",EXIT_LEAD,Which momentum state on lead TFs triggers exit. EXHAUST_UP = momentum fading. IMPULSE_DOWN = already reversing,1
WT_EXIT_LEAD_WAVE_PHASE,CONTRACTING,"CONTRACTING|any",EXIT_LEAD,Require wave phase CONTRACTING on lead TF before exit. Contracting = WT1/WT2 converging = momentum dying,1
WT_EXIT_LEAD_DIVERGENCE_ENABLED,False,"True|False",EXIT_LEAD,Use WT divergence (BEAR or HIDDEN_BEAR on 4h/D) as exit lead signal. Bear div = price HH but WT LH = weakening,1
WT_EXIT_LEAD_STRUCTURE,LH,"LH|LL|any",EXIT_LEAD,WT peak structure on lead TF that signals exit. LH (lower-high) = downtrend starting. LL = already in downtrend,1
WT_EXIT_CONFIRM_TFS,"3m+15m","3m|5m|15m|3m+5m|3m+15m|5m+15m|3m+5m+15m",EXIT_CONFIRM,Which fast TFs find the best exit price after lead signals end-of-move. 3m = most precise but noisiest,1
