key,family,class,successor_knob,consumer_file_line,behaviour_when_honoured,behaviour_now,git_commit_removed,impact_rank,notes
BTC_RESTRICTED_ENTRY_MODE_ENABLED,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:977,3530,3685,4575 (RETIRED dir); OPUS_VOMIT.py (quarantined)","Master switch for the BTC restricted entry mode -- replaced the normal score-based entry with an explicit 6-setup menu (DC touch/breakout, stdev bounce/breakout, k15m extreme, wt bounce)",Key ignored by hasattr guard (v8_quick_engine.py:370). No live/Tier-2 consumer exists at all.,ee1b7cc5 2026-05-06 deleted 6241 lines of v8_quick_engine.py; efc08799 2026-05-10 renamed the file to OPUS_VOMIT.py by USER MANDATE,1,Parent switch of the whole BTC_RESTRICTED family. Never present in ez_manage.py.
BTC_RESTRICTED_DC_15M_PLUS_TOUCH,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:980,3588,3742",Entry setup: close crosses back over dc_low (LONG) / dc_high (SHORT) on 15m+,Ignored. No live consumer.,ee1b7cc5 / efc08799,2,Vec-engine-only setup.
BTC_RESTRICTED_DC_15M_PLUS_BREAKOUT,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:981,3602,3753",Entry setup: close breaks above dc_high (LONG) / below dc_low (SHORT),Ignored. No live consumer.,ee1b7cc5 / efc08799,2,Vec-engine-only setup.
BTC_RESTRICTED_DC_TOUCH_TFS,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:998,3591",TF whitelist filter for the DC-touch setup,Ignored. No live consumer.,ee1b7cc5 / efc08799,3,Sub-parameter of a removed setup.
BTC_RESTRICTED_STDEV_BOUNCE,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:983,3631,3775",Entry setup: close crosses back over bb_lower (LONG) / bb_upper (SHORT),Ignored. No live consumer.,ee1b7cc5 / efc08799,2,Vec-engine-only setup.
BTC_RESTRICTED_STDEV_BREAKOUT,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:982,3618,3764",Entry setup: close above bb_upper (LONG) / below bb_lower (SHORT),Ignored. No live consumer.,ee1b7cc5 / efc08799,2,Vec-engine-only setup.
BTC_RESTRICTED_K_15M_EXTREME_BOUNCE,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:978,3564,3718",Entry setup: k_15m crosses up from <=20 (LONG) / down from >=80 (SHORT),Ignored. No live consumer.,ee1b7cc5 / efc08799,2,Vec-engine-only setup.
BTC_RESTRICTED_WT_15M_PLUS_BOUNCE,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:979,3575,3726",Entry setup: wt1 x wt2 cross on 15m/1h/4h/D from an extreme zone,Ignored. No live consumer.,ee1b7cc5 / efc08799,2,Vec-engine-only setup.
BTC_RESTRICTED_HA_CONFIRM_ENABLED,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:991,3645,3702",Heikin-Ashi candle confirmation gate on restricted-mode setups,Ignored. No live consumer.,ee1b7cc5 / efc08799,3,Confirmation filter for a removed mode.
BTC_RESTRICTED_HA_CONFIRM_TF,ENTRY_BTC_RESTRICTED,REMOVED_WITH_CODE,(none),"old/fake_engine.py:992,3646,3703",TF for the HA confirmation (3m/15m/1h/4h/D),Ignored. No live consumer.,ee1b7cc5 / efc08799,3,Sub-parameter.
BTC_HTF_DIRECTION_ANCHOR_TF,ENTRY_HTF_ALIGN,REMOVED_WITH_CODE,(none),"old/fake_engine.py:1028,3927",Forced all BTC entries to align with one anchor HTF direction (off/15m/1h/4h/D),Ignored. No live consumer.,d3e4d95a 2026-05-07 / ee1b7cc5,2,"Directional gate, vec-only."
BTC_TREND_MODE_ENABLED,ENTRY_REGIME,REMOVED_WITH_CODE,(none),"old/fake_engine.py:1078,4912",Trend-following mode branch in the BTC dedicated loop,Ignored. No live consumer.,4bc79ed8 2026-04-27 / ee1b7cc5,2,Vec-only regime branch.
BTC_RZ_WT_DC_MULTIFACTOR,ENTRY_REACTION_ZONE,REMOVED_WITH_CODE,(none),old/fake_engine.py:4009; btc_settings_search.py:81 (sweep grid only),Required WT and DC to jointly confirm a reaction-zone entry,Ignored. No live consumer.,66732915 2026-05-01 / ee1b7cc5,2,Still enumerated in a sweep grid that targets the banned engine.
RZ_CASCADE_MIN_TF_ALIGN,ENTRY_REACTION_ZONE,ORPHANED_KNOB,(none),"rz_cascade.py:272 getattr(cfg,...,1); per_sym_engine_crypto.py:258 =1; v8_vec_sweep.py (decl only)",Minimum number of aligned TFs for an RZ cascade entry. Override asks for 2 (stricter).,rz_cascade.py silently falls back to 1 -- LOOSER than the override intends. Real but small divergence.,ee1b7cc5 (fake_engine.py:830 default was 3),1,ONE of only 3 genuine orphans. rz_cascade.py is still importable; per_sym profile pins 1 explicitly so effect is bounded.
BTC_BREAKOUT_USE_REJECTION_EXIT,EXIT_BTC_BREAKOUT,ORPHANED_KNOB,(none),"btc_loop.py:534 getattr(cfg,...,True)",Exit BTC breakout trades on a rejection candle,"Defaults to True anyway, so behaviour matches the common intent; only a non-True override would diverge.","6d16ded1 2026-04-28 (added, never migrated to config.py)",2,Genuine orphan but default is the permissive/active value.
